sku,style,color,size,product
adsh-BL-CTD-6-5,Cap Toe Derby,Black,6.5,BLACK CAP TOE DERBY
adsh-BL-CTD-7,Cap Toe Derby,Black,7,BLACK CAP TOE DERBY
adsh-BL-CTD-7-5,Cap Toe Derby,Black,7.5,BLACK CAP TOE DERBY
adsh-BL-CTD-8,Cap Toe Derby,Black,8,BLACK CAP TOE DERBY
adsh-BL-CTD-8-5,Cap Toe Derby,Black,8.5,BLACK CAP TOE DERBY
adsh-BL-CTD-9,Cap Toe Derby,Black,9,BLACK CAP TOE DERBY
adsh-BL-CTD-9-5,Cap Toe Derby,Black,9.5,BLACK CAP TOE DERBY
adsh-BL-CTD-10,Cap Toe Derby,Black,10,BLACK CAP TOE DERBY
adsh-BL-CTD-10-5,Cap Toe Derby,Black,10.5,BLACK CAP TOE DERBY
adsh-BL-CTD-11,Cap Toe Derby,Black,11,BLACK CAP TOE DERBY
adsh-BL-CTD-12,Cap Toe Derby,Black,12,BLACK CAP TOE DERBY
adsh-BL-CTD-13,Cap Toe Derby,Black,13,BLACK CAP TOE DERBY
adsh-NA-CTD-6-5,Cap Toe Derby,Navy Blue,6.5,NAVY BLUE CAP TOE DERBY
adsh-NA-CTD-7,Cap Toe Derby,Navy Blue,7,NAVY BLUE CAP TOE DERBY
adsh-NA-CTD-7-5,Cap Toe Derby,Navy Blue,7.5,NAVY BLUE CAP TOE DERBY
adsh-NA-CTD-8,Cap Toe Derby,Navy Blue,8,NAVY BLUE CAP TOE DERBY
adsh-NA-CTD-8-5,Cap Toe Derby,Navy Blue,8.5,NAVY BLUE CAP TOE DERBY
adsh-NA-CTD-9,Cap Toe Derby,Navy Blue,9,NAVY BLUE CAP TOE DERBY
adsh-NA-CTD-9-5,Cap Toe Derby,Navy Blue,9.5,NAVY BLUE CAP TOE DERBY
adsh-NA-CTD-10,Cap Toe Derby,Navy Blue,10,NAVY BLUE CAP TOE DERBY
adsh-NA-CTD-10-5,Cap Toe Derby,Navy Blue,10.5,NAVY BLUE CAP TOE DERBY
adsh-NA-CTD-11,Cap Toe Derby,Navy Blue,11,NAVY BLUE CAP TOE DERBY
adsh-NA-CTD-12,Cap Toe Derby,Navy Blue,12,NAVY BLUE CAP TOE DERBY
adsh-NA-CTD-13,Cap Toe Derby,Navy Blue,13,NAVY BLUE CAP TOE DERBY
adsh-FG-CTD-6-5,Cap Toe Derby,Forest Green,6.5,FOREST GREEN CAP TOE DERBY
adsh-FG-CTD-7,Cap Toe Derby,Forest Green,7,FOREST GREEN CAP TOE DERBY
adsh-FG-CTD-7-5,Cap Toe Derby,Forest Green,7.5,FOREST GREEN CAP TOE DERBY
adsh-FG-CTD-8,Cap Toe Derby,Forest Green,8,FOREST GREEN CAP TOE DERBY
